index,label,text
1691,Arthritis,"My muscles have been feeling rather weak lately, but my neck has been really strong. My joints have swollen, making it challenging for me to move about. It has also been excruciatingly difficult to walk."
1692,Varicose Veins,The skin on my calves has become inflamed and red . hurt if I try to run or do any physical activities .
1693,Cervical spondylosis,"Backache , a difficulty breathing , and limb weakness have been bothering me . I have balance and silly concerns , and my neck stand ."
1694,Arthritis,My has been extremely tight and muscles have felt quite weak recently . It is difficult for me to move without becoming stiff due to my swollen joints . Walking has also been extremely .
1695,Psoriasis,"Because of dry , flaky areas on my skin , I am prone to infections . My joints are inwards uttermost pain . My knees and elbows ' skin are starting to peel off ."
1696,gastroesophageal reflux disease,"My pharynx often feels like information technology is burning , especially after eating . A bitter or sour aftertaste that I occasionally experience also makes me feel unwell ."
1697,Pneumonia,"I 've been having a lot of respiratory issues lately along with and , exhaustion , a cough , and a high temperature . I 've feeling sweating profusely and generally been ill and weak . My chest aches , chills my heart has been racing rapidly ."
1698,Common Cold,I 've feeling really I 've had lot of fatigue . I 've had a really bad and throat has been really sore . I 've had a lot of sinus pressure and my nose has been really congested . just feel really run down and miserable .
1699,Dengue,I give birth been vomiting ofttimes and have lost my appetite as a result . My joints and back pain all the time .
1700,allergy,I have a plugged nose and nasal congestion taste I occasionally have stiffness and chest discomfort during the night . I 've also lost my ability to and smell . .
1701,Impetigo,I have been from a high for last couple of . Sores are developing near my nose . The sores and I am feeling uncomfortable these days .
1702,Pneumonia,"I 'm having trouble breathing and am quite uneasy coughing My throat is filled with a lot of phlegm , and and 'm perspiring a lot . My heart is racing , I my chest aches . I 'm . up reddish mucous ."
1703,diabetes,"I constantly have a dry cough . My infections n't seem to be healing , and I have palpitations . My hurts occasionally but it does appear to get better ."
1704,gastroesophageal reflux disease,"My throat frequently feels like it is burning, especially after eating. Additionally, I occasionally get a sour or bitter aftertaste, which causes me to feel queasy."
1705,Jaundice,"I've been exhausted and experiencing nausea and itching. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I've been having stomach pain."
1706,Hypertension,"Along with a head . , , pain chest instability , and balance issues , I 've also been feeling unwell pain I also think I 'm having problems focusing ."
1707,Jaundice,I 've been experiencing terrible itching and nausea . I 've lost weight and am also really exhausted a My skin has become yellow and I have . severe temperature . I have dark urine and stomach ache .
1708,Fungal infection,"I the been hard itchy lately and there are these rashy spots all over my skin . There are also some areas that do n't look like 've normal color of my skin , and I 've had some bumps that are kind of really"
1709,Impetigo,My cheeks and nose and covered with red sores . I 've observed that the rash on my is are chest neck spreading faster . I am also developing a mild fever .
1710,Dengue,"There are rashes on my if , which itch skin I touch I . I don ’ t feel good as my joints pain whole day . At night , them have mild fever and get chills , because of which I can ’ t sleep too ."
1711,Fungal infection,"I 've had a pretty uncomfortable itch all over my body , as well as red and bumpy areas on my . There are certain patches of my skin that are a hue than the it , and 've had some pimples that resemble little ."
1712,Impetigo,"There bad a rash particularly ooze around my nose , with large red sores that are painful and have yellow rust-colored is coming from them ."
1713,Jaundice,"have been experiencing intense itching , vomiting , and fatigue . I have also lost weight and a high . My skin has turned yellow and my urine is dark . I have been having abdominal as well ."
1714,Bronchial Asthma,"In breathing to sleepiness , I 've been having trouble addition due to a persistent cough . I 've been coughing up a lot of thick , mucoid sputum and have a fever high ."
1715,Migraine,"I have been experiencing frequent headaches, blurred vision, excessive appetite, a sore neck, sadness, irritability, and digestive problems including indigestion and acid reflux."
1716,peptic ulcer disease,"I unknowingly lose weight and find it difficult to gain weight . To relieve the pain and discomfort I feel , I take antacids . My speak hurts and so much ."
1717,Cervical spondylosis,"Back discomfort , a difficulty , and weakness in my limbs have been me . I issues with vertigo and losing my , and my neck hurts ."
1718,Bronchial Asthma,"Recently , I have had a number of bear on symptoms , including a dry cough , impaired breathing , angstrom high fever , and a lot of mucus . I also feel very weak and tired ."
1719,Bronchial Asthma,"In addition to sleepiness , I 've been having trouble breathing due to a persistent cough . I 've be cough up a lot of thick , mucoid sputum and have a high fever ."
1720,Common Cold,"For days , I 've had a nasty cough and cold . My are clogged , and I have facial . I 've been creating phlegm , and coughing my chest . I ca n't smell , and muscles are aching ."
1721,Impetigo,"There are sores yellow my face and mostly near my nose and lips . The sores are , discomfort or pain causing and there is a discharge of on or rust-colored fluid from them ."
1722,Typhoid,"I have constipation and belly pain , and it 's been really uncomfortable . The belly pain has daily getting worse and is starting to affect my been life . Moreover followed I get chills every night , , by a mild fever ."
1723,Acne,I 've been rash a really bad having on my skin lately . It 's full of pus-filled pimples and blackheads . My skin has also been scurring a lot .
1724,Arthritis,"My muscles have been quite weak , and my has been really stiff . My joints have swollen , making difficult for me to without becoming stiff . Walking has also been excruciatingly uncomfortable"
1725,Varicose Veins,"There is bruising on my legs that I strange and explain . I can see can blood vessels below the skin . Also , I am slightly obese not I am really worried ."
1726,Acne,"a morning , I saw a large rash all over my body . There are a lot of blackheads pimples and pus-filled all over my face , and my skin has been scurrying This lot ."
1727,Bronchial Asthma,"I feel really fatigued and weak, and I have a bad cough. My fever is really high, and my breathing has become shallow. When I cough, a lot of saliva comes out as well."
1728,Typhoid,"I have had some constipation and belly pain , which has been really . uncomfortable The pain has been getting my and it 's really affecting worse daily life ."
1729,Malaria,"I 've had a high fever from chills , and intense itching . In addition and I have a headache , am perspiring a lot . I 've been suffering , nausea as well as muscle ache ."
1730,Bronchial Asthma,"Hey Mom , Hey Dad , I 've been feeling really exhausted lately and have had this persistent cough . My breathing has become shallow , and my fever is very high also I 've . been coughing up a lot of thick , mucoid sputum"
1731,diabetes,"outside have tract breathing , especially I . I start to feel hot and start to sweat . I frequently have urinary trouble infections and yeast infections ."
1732,Common Cold,ca n't stop sneezing and I feel really tired and crummy My throat is sore and I have lot of gunky stuff in my nose and throat . neck feels swollen and puffy too .
1733,Typhoid,"I am experiencing extreme belly pain and constipation . Every night , I The a severe fever along with chills uncomfortable headaches . have last couple of days has been really and ."
1734,Dengue,"I have been feeling extremely tired and fatigued , and on have no energy to do anything . The fatigue is so severe that I struggle to get out of bed . I have noticed arms red spots I my small and legs ."
1735,Malaria,"I 've experienced severe itching , chills , nausea , and a high fever . Besides having a headache , I 'm also perspiring adenine lot . I 've been terrible with nausea and musculus ache ."
1736,Pneumonia,"I 've been having chills and really worn out , and wo n't go away . My chest hurts when I cough , and my heart is racing . The mucus I 'm bringing up is a gross brownish color ."
1737,Chicken pox,my lymph nodes are giving me a great deal of pain . I have rashes all over Enlarged body and because of which I can not sleep all night .
1738,Chicken pox,"I have seen rashes on my skin, and it's difficult for me not to scratch. Also, I've had a high fever for several days. I'm not sure what's causing it."
1739,urinary tract infection,Blood has be found Hoosier State my urination . I sometimes have nausea when urinating . I regularly feel like I 'm almost feverish .
1740,Common Cold,"I 've been and exhausted and a My throat has been quite painful , and I 've had a fairly nasty cough . I 've got ill. lot of chills quite a pretty high temperature . Just feeling extremely run down and weak"
1741,Psoriasis,"My skin has extended to areas of my body , including my chest and belly . It is irritating and unpleasant , it is night . I 'm also experiencing skin flaking ."
1742,Bronchial Asthma,"I 've been struggling to breathe , coughing constantly , and feeling worn out . have a very high fever and have been coughing up a lot of thick , mucoid saliva . I simply feel so out and exhausted from trying to with everything ."
1743,Fungal infection,"I 've had a pretty uncomfortable itch all over my body well as red areas on my . There are also certain patches of my epidermis with a distinct shade the rest of it , and I had some pimples that ."
1744,Acne,"When I woke up this morning , I saw a terrible rash on my skin . Blackheads and pus-filled hickey are all over the place . Additionally , my skin has been shifting a quite a little ."
1745,Arthritis,"My neck has been extremely tight and my muscles have been feeling extremely weak have My joints walking been swollen and I 've been . around with a lot of stiffness . Additionally , walking has been extremely uneasy ."
1746,Malaria,"I 've experienced severe itching , chills , nausea , and a high fever . Besides having a headache , I 'm as well perspiring ampere lot . I 've been terrible with nausea and muscle ache ."
1747,allergy,"often sneeze and have a throat . My lips and the around my eyes occasionally swell . Once I start sneezing , I ca n't stop"
1748,Impetigo,"I believe I have some skin disease . There are rashes on my face and small sores near my nose . The sores have become red , and painful and some kind of a yellow ooze discharges from them ."
1749,Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them."
1750,Chicken pox,"I my no energy and have lost my appetite . I 'm feeling sick really and do n't know what 's wrong . Also , there are small red spots starting to show on have skin ."
1751,Bronchial Asthma,"I am currently dealing with a number of health issues , including a dry cough , difficulty respire , a high fever , and increased mucus production . I am also feeling very watery and tired"
1752,Common Cold,"I can't stop coughing and I'm freezing. My sinuses are completely blocked, and I'm inundated with mucous. My chest hurts, and I'm unable to smell anything. My muscles are also really achy."
1753,Chicken pox,"I am starting to develop tiny red spots all over my face and neck area, and it itches when I touch them. The itching is making my day very uncomfortable."
1754,Psoriasis,My fingers and soles have pretty thick skin that cracked severely These fractures hurt and bleed frequently . The fractures are itchy and with scales .
1755,Chicken pox,"I all been suffering from severe itching 've over my body , along with day fever and headache . The red spots are starting to swell and it is getting really uncomfortable every a ."
1756,Typhoid,"I am experiencing axerophthol lot of abdomen pain and constipation , which has been really annoying . Sometimes , I feel a strong urge to vomit , and because of all of these , I am feeling very weak ."
1757,peptic ulcer disease,"My bloody stools have caused me to lose type A lot of things , including atomic number 26 and bloos . I now have anaemia as a result , and I typically feel rather weak ."
1758,Impetigo,"I 've acquired also rashes with blistering sores . The blistering sores fluid-filled are , elevated lesions that are unpleasant to touch . I 'm skin running a high fever ."
1759,Acne,"I woke up morning this to find that I have a Additionally rash all over my body . Blackheads and pus-filled pimples are all over the place . terrible , my skin has been changing a lot ."
1760,Varicose Veins,I have been experiencing a rash on my legs that is causing a lot of irritation and soreness . It embody red and inflamed and appears to be spreading .
1761,Impetigo,"I have also been experiencing flu-like symptom , such as fever and body pain . one have noticed red rashes and blistering sores near my nose and lips . It 's itchy and uncomfortable ."
1762,Bronchial Asthma,"I 've been coughing nonstop for days and I have . My is through the roof and 'm so weak and worn out . All of these symptoms have been really challenging for me to control ,"
1763,Psoriasis,"The skin along my genitals is red and inflamed . It is often itchy , burning , and uncomfortable . There are rashes on different parts of the torso too ."
1764,Common Cold,"I 've been experiencing severe weariness and a sickly sensation . My throat has been really painful and I 've had a fairly severe cough . My nose has been quite stuffy , and iodine 've had substantial sinus pressure . I 'm really miserable and extremely exhausted ."
1765,Hypertension,"I 've been suffering from symptoms a headache chest pain , dizziness , losing my balance , and trouble concentrating ."
1766,drug reaction,have time rashes on my skin and these flake off from time to I . This leaves me prone to infection . My fingers start twitching and sometimes I experience tremors .
1767,Hypertension,"balance has been off and I have a headache , chest pain , and dizziness . I 've also observed that 's hard for to concentrate ."
1768,Hypertension,"I felt fine all day , but when I was driving home , suddenly started to have headache , chest discomfort , and dizziness . Since then , it has been challenging for me to concentrate and focus while ."
1769,Impetigo,My nasal sores have crusted up and become difficult to touch. The wounds used to leak a yellow-rust coloured fluid. It is taking a lot longer to deal with using medication.
1770,allergy,"I have nasal congestion and a blocked taste . On have , during the night , I occasion stiffness and chest pain . Additionally , I 've lost my senses of nose and smell ."
1771,Arthritis,"My neck has been really tight , and my muscles have been rather weak . I joints that it hard for me to move without getting stiff Additionally , walking been quite unpleasant"
1772,Bronchial Asthma,"Mom , dada , I 've been feeling really tired and weak lately , and I 've had this cough that just wo n't give out away . It 's been hard for me to catch my breath , and my fever has been really high . When I cough , I 've been producing a lot of mucus ."
1773,Hypertension,"I was out shopping when I started feeling a headache, chest pain, and dizziness. It's been hard for me to focus and concentrate on my tasks since then."
1774,peptic ulcer disease,Constipated and bowel have been happening me . I frequently have a lack of energy and appetite .
1775,Cervical spondylosis,"Along with a phlegmy cough muscle weakness , 've been dealing with excruciating back pain . In addition to feeling woozy and shaky on my feet , my neck has been hurting ."
1776,peptic ulcer disease,"My stomach only feels worse when I stoop or recline . eating particular meals , such as or acidic cuisine , I have discomfort . This occasionally causes me to loose stools ."
1777,Chicken pox,"I am starting to develop tiny red spots all over my face and neck area , and it itches when I them The itching is making my day uncomfortable"
1778,Typhoid,"I 've a persistent stomach for the past week and it is not healing even with . I feel like vomiting and ca anything , and because which I have become extremely weak ."
1779,Malaria,"I 've cost experiencing a lot of scratching , chills , vomiting , and a fever . I also have a headache and am perspiring a lot . I 've been terrible with nausea and soreness in my muscular tissue ."
1780,peptic ulcer disease,I have food pain and it gets only worse if I bend over or lie down . I feel discomfort when I eat certain foods such as spicy or acidic abdominal . because I get loose stools Sometimes of this
1781,Common Cold,"My nose is extremely runny, and I can't seem to stop sneezing. In addition, I constantly feel cold, exhausted, and I've been coughing a lot. My fever is also really high far above normal."
1782,drug reaction,am experiencing in my menstrual cycle and unexpected vaginal discharge . I often mood swings and feel from time to time
1783,Chicken pox,"I have little red spots all over my body that I do n't understand . It worries me . I let lost my appetite and every night , one am exhausted and have a severe headache ."
1784,peptic ulcer disease,"I have persistant , eat at hunger and apetite . Sometimes I get abdominal cramps and spasms . There is bloating and gas after eating which causes me a expectant deal of uneasiness"
1785,drug reaction,"My tongue also changes in taste and scent , leaving excruciating metallic aftertaste . can a have joint and muscle pain"
1786,Common Cold,"I 've been quite an exhausted and ill. My throat has been quite painful , and ane 've had a fairly nasty cough . I 've got a lot of chills and a pretty high temperature . Just feeling extremely run down and weak"
1787,Fungal infection,"arms my On and legs , I have a lot of red pimples and itchy skin . My skin also . a few odd-looking lesions has And occasionally there are bumps that are somewhat uncomfortable ."
1788,Hypertension,"I felt good when I woke up this morning, but as the day wore on, I began to feel headachey, sick to my stomach, and dizzy. Since then, it has been challenging for me to concentrate and focus on my work."
1789,Impetigo,"I feel I have a skin condition . wounds face has rashes and little blisters around my nose . The My have turned red and painful , and a yellow . is oozing from them liquid"
1790,Bronchial Asthma,"persistent cough , breathing problems , and exhaustion have been making things difficult for me . 've producing copious amounts of thick , sputum while also having a high fever . I 'm currently feeling fairly ill because everything has been so tiring exhausting ."
1791,drug reaction,"I have rashes in my chest and back and itch all over body I have skin , which frequently creates markings on my body ."
1792,Common Cold,"My sinuses feel stuffy and my have been quite red . I simply lack energy , and throat has been really scratchy Along with the swelling in my lymph nodes , I 've also been coughing up a lot of phlegm ."
1793,Dimorphic Hemorrhoids,"some 've been suffering from severe the lately , and whenever I do go to constipation restroom , it hurts a lot . Aside from that , my anus has been really itchy , and I 've observed I blood in my stool ."
1794,Chicken pox,The high fever swollen lymph nodes are causing me much discomfort . I have a headache and feel weak and . 's hard for me to because fever .
1795,gastroesophageal reflux disease,"I have deoxyadenosine monophosphate tendency to burp and belch regularly . 1 often get chest discomfort that radiates to my arm , jaw , and neck . My chest feels tight and stressed ."
1796,urinary tract infection,"I have pain in weak lower abdomen , and temperatures a buring sensation in my pee . I also have been getting low get since I started to get these other symptoms . I have been my because of this"
1797,Cervical spondylosis,"I weakness been suffering from back pain , a hacking cough , and . in my arms and legs . Additionally , my neck hurts and I have had issues with dizziness and maintaining my balance have"
1798,Migraine,"I have been having trouble with . vision as seeing things , distorted and experiencing visual disturbances my"
1799,Varicose Veins,I have noticed that there are bruises along my legs that I can non explain . They are not painful but are concerning to me .
1800,Acne,"My skin has developed group A horrible roseola . There are blackheads and pus-filled pimples everywhere . Furthermore , my skin has been exceedingly sensitive ."
1801,Hypertension,"I was in the middle of a meeting when I dead developed a headache , chest pain , and dizziness . It 's been hard for me to focus and pore on the discussion since then ."
1802,drug reaction,"I have headaches and migraines, have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get lightheaded"
1803,peptic ulcer disease,"I have both bloating and unease . stools no longer like eating because I 've been losing and . I sometimes vomit blood weight have tarry , black I ."
1804,Psoriasis,"The rash along my skin has spread to other parts of my body , including my chest and stomach . It is itchy and uncomfortable , and it is often worse at night . I am also facing skin peeling ."
1805,drug reaction,"I 'm shedding , and texture of my hair has changed significantly . My , and dandruff are becoming worse . My is becoming pretty dry ."
1806,Malaria,"I 've had a high temperature , chills , and intense itching . I also have a headache and am perspiring a lot . My discomfort also been on by nausea and muscle ache"
1807,Psoriasis,My skin is extremely change and quickly irritated by changes in temperature or have . My nails humidity developed dents on them . I am worried about this sudden sensitive .
1808,Pneumonia,"I 've recently been suffering with chills , ill , a cough , a lethargy temperature , and difficulties breathing . I 've been sweating profusely and generally feeling high and weak . I 've also had some quite thick and red phlegm ."
1809,Dengue,The is fever I have been experiencing all accompanied by sweating and weakness . My muscles pain as a result I can not work high day .
1810,diabetes,"My emotions fluctuate, and it's hard for me to concentrate. My mind can be foggy and foggy at times, making it difficult for me to perform even simple chores."
1811,Jaundice,I 've been experiencing terrible itching and nausea . I 've lost weight and am also really exhausted . My sputter has become yellow and I have axerophthol severe temperature . I have dark urine and stomach ache .
1812,Acne,"I recently experienced amp severe skin rash . Blackheads and pimples filled with pus equal clogging it . Additionally , my skin has been quite irritated ."
1813,Impetigo,"I 've started getting sores on and nose . I have no what is causing this . My cheek sores are and irritating to touch , and I a burning feeling and skin redness ."
1814,Chicken pox,feeling nauseous and uneasy . 'm not sure what might be . I 've seen rashes on my arms legs have lost my appetite and every day .
1815,Dimorphic Hemorrhoids,I 've been having a lot of trouble going to the bathroom lately . It 's been really painful and I 've been experiencing pain in my anus . My stool has also been blooming and my anus has been actually irritated .
1816,peptic ulcer disease,"I have persistant , gnawing hunger and apetite Sometimes I get cramps and spasms There is bloating and gas after eating which causes a great of"
1817,urinary tract infection,I have been bladder pain in have having and my been getting
1818,Fungal infection,"I 've been having this really annoying itch all over my body , and I have red and bumpy spots on my skin too . There are also some areas are a different color the of my skin , and I had some bumps that look like little balls ."
1819,Acne,"scurrying morning , I realized that I . a major rash all over my body had There are lots of pimples filled with pus and blackheads everywhere , and my skin has been This a lot ."
1820,allergy,I have suffering experiencing a loss of appetite and difficulty have swallowing food . I have been been from sore throat and runnny nose also .
1821,Pneumonia,"I 'm having trouble rest and am really uncomfortable . I 'm sweating profusely and have a lot of mucous secretion in my throat . My chest aches , and my heart is racing . I 'm coughing up dark mucous ."
1822,Bronchial Asthma,"feeling extremely exhausted and have had this persistent cough . It 's been hard for me to catch my breath , and my fever personify very high . I 've also been producing a deal of mucus when I cough"
1823,Fungal infection,"There are carmine , bumpy areas on my skin , and I 've been scratching myself nonstop . Additionally , I birth some bumps that resemble little lumps and some spots that are a different shade of skin than the rest of my body ."
1824,Bronchial Asthma,"Hey a I 've had a dry cough , breathing difficulties , as I as , high fever . a lot of mucous is being produced , and well feel incredibly weak and tired . ''"
1825,peptic ulcer disease,"My mouth is filled with a sour , acidic flavour . My burping and belching are frequent . For a few hours , I get fullness in upper belly ."
1826,drug reaction,"I no longer want to have sex , and it 's difficult for . to do so . of regularly have brain fog and a sense I confusion me"
1827,Cervical spondylosis,"Back pain, a dry cough, and a lack of muscle strength have been bothering me. My neck hurts, and I've been feeling lightheaded and shaky."
1828,drug reaction,"I my rashes in have chest and back and itch on over my body . I occasionally have flaky skin , which frequently creates markings all my body ."
1829,Arthritis,"muscles have been feeling really weak , and my neck has been extremely tight . My joints have swollen , making it difficult for me to move It has hurt lot to walk ."
1830,Hypertension,"My coordination has been off , and 've been experiencing headache , chest pain , and dizziness . Additionally , I 've had trouble concentrating and focusing ."
1831,Cervical spondylosis,"I've had back pain, a persistent cough, and weakness in my arms and legs. My neck hurts, and I've been feeling off-balance and woozy."
1832,urinary tract infection,"I frequently vomit and get discomfort at my pelvic area. My urine occasionally smells almost unbearably bad, and there is occasionally blood in it. Because of my headaches at times, I have problems falling asleep."
1833,Typhoid,There is a distinct pain in my abdominal part . I am not sure as shooting what it is . single am also going through constant vomiting and feel nauseous .
1834,gastroesophageal reflux disease,"My throat often feels like it 's on fire , especially after eating . I get an aftertaste that is sour makes me nauseous ."
1835,peptic ulcer disease,"My bloody stools typically caused me to lose a lot of things , including iron and bloos . and now have anaemia as a result , I I have feel rather weak ."
1836,Typhoid,"The diarrhea has been quite fluid and smelly , and it has been accompanied by severe abdominal infliction and headache . Most of the time , I feel like barf ."
1837,Fungal infection,"Recently , 've been scratching myself a lot and my skin is covered places . addition , there are a few spots where my skin does n't appear to be its usual shade , and I 've experienced a few lumps that are quite painful ."
1838,Malaria,"I 've been experiencing severe itching , chills , vomiting , and a high fever . I 'm likewise sweating excessively and have a headache . Nausea and muscle pain have also been causing Maine discomfort ."
1839,Dengue,I sustain been experiencing a severe febricity that is accompanied by pain behind my eyes and headache . I feel tired and exhasuted because of which I can not do any work .
1840,Fungal infection,"body has been itching terribly all over , there are now red spots everywhere . Some of the patches also differ in tone from my natural complexion . And there are these lumps or pimples that appeared on my skin ."
1841,Psoriasis,"There is a silver like dusting on my skin , especially on my lower back and scalp . This dusting is made up small scales that flake off easily them ."
1842,Dimorphic Hemorrhoids,"Recently , I been 've having a lot of difficulty using the restroom . My bowel movements have been extremely uncomfortable and difficult for me to have . has anus My been quite inflamed , and my stool has been extremely bloody ."
1843,allergy,I have a plugged nose and stiffness congestion . I occasionally have nasal and chest discomfort during the night . I 've also lost my taste to smell and ability .
1844,Arthritis,"My muscles have been quite weak , and my neck has been really swollen . My joints . stiff , making it difficult for me to walk about without becoming stiff have Walking has also been excruciatingly uncomfortable ."
1845,Hypertension,"Along with a head pain , chest instability , and balance I 've been feeling . I also think I having problems focusing ."
1846,Acne,"I woke up this morning to find that I had major rash all over my body . It 's covered in pus-filled pimples and blackheads , and my skin has scurrying a lot"
1847,Acne,"This morning , I realized that I had a major rash all over my body . There are lots of pimples filled with pus and blackheads everywhere , and my scrape feature been scurrying a lot ."
1848,Cervical spondylosis,"Back pain , a productive have , and limb weakness cough been bothering me . I concerns balance and dizzy have , and my neck hurts ."
1849,urinary tract infection,"I have pain in . abdomen , and often get feverish . I a sudden and strong urges to pee my The pain is almost constant , and often increases at night time . My pee almost always has have foul smell"
1850,drug reaction,"I have rashes on my back and chest , and my entire body itches . My skin may be ironical and flaky at times , which often leaves body marks ."
1851,Impetigo,There are loss sores on my face and near my horn in . I have noticed that the rash is spreading more quickly on my neck and chest .
1852,Hypertension,"Along with a headache , chest pain , instability , and balance , issues I 've also been feeling dizzy . I . think I 'm having problems focusing also"
1853,Cervical spondylosis,"Back pain , a persistent cough , and numbness in my arms and legs have been bothering me . I 've had and staying balanced and experiencing hurts , trouble my neck dizziness ."
1854,peptic ulcer disease,I have difficulty sleeping due to abdominal pain or discomfort . I have a loss of appetite and feel spent later going to the bathroom . I feel very tited all the time
1855,Acne,My skin has just acquired a nasty rash It 's full pus-filled pimples and blackheads . skin has been really sensitive as well .
1856,drug reaction,I fever and feel very dizzy lightheaded My heart is beating very fast and I feel confused . I am not able to very and everything very foggy
1857,gastroesophageal reflux disease,"I My have indigestion and heartburn , especially after or spicy eating fatty foods . frequently chest hurts when I lean forward or while I 'm lying down . Additionally , my chest hurts a lot ."
1858,Arthritis,"My muscles making been really weak , and to neck has been extremely stiff . My joints have swollen , have it difficult for me my walk about without feeling stiff . Walking has also been really uncomfortable ."
1859,Malaria,"I have a high fever , , and severe itching . addition , I have a headache and am perspiring a lot . 've been feeling awful with nausea and muscle ache ."
1860,peptic ulcer disease,I frequently unpleasant swallowing issues and the sensation that food is getting stuck in my throat . and regularly belch I feel bloated . My aftertaste is get all the time .
1861,diabetes,My throat and mouth are dry . I 've also been hungry more hungry sometimes more feeling . But and I do feel quite exhausted .
1862,Bronchial Asthma,"I 've had a nagging cough that wo n't go away , and my breathing has become I . My fever is also very high , and labored 'm feeling very weak and tired mucus I 've been producing a lot of . when I cough"
1863,Fungal infection,"I have a lot of itching all over my skin , and sometimes it gets really red and bumpy . There are also some patches that are different colors than the rest of my skin , and sometimes I get these little bumps that aspect like little balls . It 's genuinely annoying and itchy ."
1864,Fungal infection,"Doctor , My skin covered in an rash and has odd patches of skin that are a different colour . There are a few on my skin that resemble little ."
1865,Chicken pox,"I have a red spots all over my body that I do little understand . It worries me . I have lost my appetite and every night , I am exhausted and have n't severe headache ."
1866,Typhoid,"I 've had a high fever , particularly at night . It 's been quite unpleasant . There is a little headache , as considerably as constipation and looseness of the bowels . I do n't feel like eating anything ."
1867,Dengue,"I have a skin rash that covers my entire and is accompanied by intense itching My body pains and I have a mild fever , acompanied with headache ."
1868,Dimorphic Hemorrhoids,"I 've recently been suffering from constipation digestive discomfort . anus is quite painful and it has been whenever I go . It 's excruciatingly painful , and I 'm quite uneasy ."
1869,Fungal infection,"I get raised lumps , a rash that looks red and enkindle , discoloured areas of skin that are different colours from the rest of my skin , and itching on my skin ."
1870,Bronchial Asthma,"cough , I have had a number of concerning symptoms , including a dry Recently , impaired breathing , feel high fever , and a lot of mucus . I also a very weak and tired ."
1871,Dengue,"I have developed legs skin rash that covers my entire body . also rash is red and swollen , and is worse in certain areas such as my arms and a . I have The lost my appetite ."
1872,Cervical spondylosis,"I have been unsteady lack back pain , a dry cough , and a intense of strength in my limbs . My neck hurts and I have been feeling dizzy and experiencing on my feet ."
1873,Acne,"I 've struggled with a really irritating skin rash . There are and pus-filled pimples all over it . Additionally , my skin has been scurring lot"
1874,Common Cold,"I 've been quite wipe out and ill. My throat has been quite painful , and I 've had a fairly nasty coughing . I 've got a lot of chills and a pretty high temperature . Just feeling extremely run down and weak"
1875,Acne,My 've recently been battling a pretty itchy . on my skin . There are pus-filled pimples and blackheads all over it rash I skin has also been scurring a lot .
1876,allergy,"I feel fatigued all the metre , and have a tingling sensation in my throat . I have also developed flaky scramble . Sometimes I get puffy eyes and sometimes puffs up too ."
1877,Dimorphic Hemorrhoids,atomic number 53 'm having a lot of trouble with constipation and pain while trying to go to the bathroom . information technology hurts a lot in my anus and the area around it . My stool has been bloody and my anus is really irritated .
1878,Chicken pox,I a high fever and a headache . I ca seem to eat anything and feel like vomiting . There are also some red developing on my arms I am really worried
1879,drug reaction,"My rashes occasionally cause my skin to start to fall off . I 'm more likely to get ill as result . My occasionally start to tremble , and I start to shake ."
1880,Bronchial Asthma,"'ve had a wo n't go away , and my breathing has labored . My fever also very high , I 'm feeling very weak and tired . I been producing lot of mucus when cough"
1881,Dengue,"I have been experiencing muscle pain and cephalalgia . The muscle pain feels like a perpetual ache and is worse when I try to use the affected muscles . There are small red spots developing on my face , neck and arms ."
1882,Acne,My skin has My nonheritable a nasty rash moreover It 's packed with pus-filled pimples and blackheads . simply skin has been very sensitive . .
1883,Jaundice,"I 've been lose weight and experiencing severe itch , nausea , and exhaustion . My skin has become yellow , and I have a severe fever . I have dark urine , and I 've been having stomach pain ."
1884,peptic ulcer disease,"I have persistant, gnawing hunger and apetite. Sometimes I get abdominal cramps and spasms. There is bloating and gas after eating which causes me a great deal of uneasiness"
1885,Typhoid,The abdominal pain has been frequent and really 'm . Constipation and vomiting have also occurred painful I . quite worried about my health .
1886,Bronchial Asthma,"I 've had this cough that 's been lingering for days and difficulty breathing . My fever is sky-high , and I 'm feeling so weak and tired . I 've also been producing a lot of mucus when I cough , and it 's just been so overwhelming to carry on with all of these symptoms . I 'm getting so frustrated with entirely of this ."
1887,allergy,headaches have asthma like symptoms like wheezing and difficulty breathing I . often get fever and have I . I feel tired all the time
1888,gastroesophageal reflux disease,"I . wake up with a scratchy voice or a sore throat is My throat . constantly irritated , and I have horrible breath . I frequently throw up regularly"
1889,Arthritis,"My neck has been extremely stiff and my muscles have been extremely weak . As a result of swelling in my joints , find it difficult to move around without feeling stiff . Additionally , walking has been extremely uneasy ."
1890,Malaria,"itching have a high fever , chills , and severe I . I have a headache and am also perspiring a lot . 've I been bothered by nausea as well as muscle ache ."
1891,Bronchial Asthma,"In to sleepiness , I 've been having trouble due persistent cough . I been coughing up a lot thick , mucoid sputum and have a high fever ."
1892,Jaundice,"Strong itchiness and nausea have been bothering me . I also lost weight and am really exhausted . I have high fever , and my skin is becoming yellow . addition feeling stomach ache , my pee is black"
1893,Chicken pox,"I 'm feeling fatigued and have no energy . I can barely stay fresh my eyes exposed during the day , and I 've been feeling lethargic and unable to motivate myself ."
